"type","generator","copyright","timestamp","features__type","features__properties__@id","features__properties__created_by","features__properties__leisure","features__geometry__type","features__geometry__coordinates__001","features__geometry__coordinates__002","features__id","features__properties__access","features__properties__name","features__properties__operator","features__properties__layer","features__properties__source","features__properties__natural","features__properties__tourism","features__properties__amenity","features__properties__website","features__properties__equipment","features__properties__shade","features__properties__wheelchair","features__properties__addr:city","features__properties__addr:housenumber","features__properties__addr:postcode","features__properties__addr:street","features__properties__phone","features__properties__opening_hours","features__properties__wikidata","features__properties__wikipedia","features__properties__name:en","features__properties__surface","features__properties__playground:theme","features__properties__addr:province","features__properties__description","features__properties__fee","features__properties__indoor"
"","","","","Feature","node/612775508","","playground","Point","144.9700659","-37.8597825","node/612775508","","Catani Gardens Playspace","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/612777471","","playground","Point","144.9712669","-37.8570798","node/612777471","yes","Children's Playground","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/616071543","","playground","Point","145.0261634","-37.935913","node/616071543","","Wishart Street Playground","","","nearmap","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/623908903","","playground","Point","144.9728041","-37.796294","node/623908903","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/632050758","","playground","Point","144.9641743","-37.6966948","node/632050758","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/632277190","","playground","Point","145.3937101","-37.9702141","node/632277190","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/642661864","","playground","Point","145.087282","-37.6603498","node/642661864","","","","","nearmap","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/660544739","","playground","Point","144.986292","-37.8170291","node/660544739","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/660938173","","playground","Point","145.1061046","-37.8457152","node/660938173","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/690280974","","playground","Point","144.8778485","-37.7849755","node/690280974","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/697191923","","playground","Point","144.8770945","-37.8607672","node/697191923","","","","","","","","","","","","","","","","","","","","","","","","","","",""
